station,ad_ordinary,ad_ordinary_perc,cd_ordinary,cd_ordinary_perc,ad_focused,ad_focused_perc,cd_focused,cd_focused_perc,total_observations,cd_all,CD-bias corrected,Processing group,Confirmed
STN190,15006,91.31%,0,0.00%,0,0.00%,0,0.00%,16435,0,,,
STN193,2630,100.00%,0,0.00%,0,0.00%,0,0.00%,2630,0,,,
STN200,7982,98.90%,0,0.00%,0,0.00%,0,0.00%,8071,0,,,
STN204,3814,100.00%,0,0.00%,0,0.00%,0,0.00%,3814,0,,,
STN207,4668,100.00%,0,0.00%,0,0.00%,0,0.00%,4668,0,,,
STN211,3422,100.00%,0,0.00%,0,0.00%,0,0.00%,3422,0,,,
STN213,3878,33.37%,0,0.00%,0,0.00%,0,0.00%,11621,0,,,
STN214,8402,100.00%,0,0.00%,0,0.00%,0,0.00%,8402,0,,,
STN216,14416,95.03%,0,0.00%,0,0.00%,0,0.00%,15170,0,,,
STN218,8192,97.90%,0,0.00%,0,0.00%,0,0.00%,8368,0,,,
STN219,8172,97.14%,0,0.00%,0,0.00%,0,0.00%,8413,0,,,
STN222,1243,46.02%,0,0.00%,0,0.00%,0,0.00%,2701,0,,,
STN223,29,5.30%,0,0.00%,0,0.00%,0,0.00%,547,0,,,
STN241,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4074,0,,,
STN243,1961,100.00%,0,0.00%,0,0.00%,0,0.00%,1961,0,,,
STN244,3777,99.87%,0,0.00%,0,0.00%,0,0.00%,3782,0,,,
STN252,11194,82.45%,0,0.00%,0,0.00%,0,0.00%,13577,0,,,
STN253,14478,100.00%,0,0.00%,0,0.00%,0,0.00%,14478,0,,,
STN261,0,0.00%,0,0.00%,0,0.00%,0,0.00%,11588,0,,,
STN262,0,0.00%,0,0.00%,0,0.00%,0,0.00%,16749,0,,,
STN265,8627,99.68%,0,0.00%,0,0.00%,0,0.00%,8655,0,,,
STN271,0,0.00%,0,0.00%,0,0.00%,0,0.00%,10403,0,,,
STN272,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1402,0,,,
STN273,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2032,0,,,
STN274,0,0.00%,0,0.00%,0,0.00%,0,0.00%,7743,0,,,
STN275,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1750,0,,,
STN276,0,0.00%,0,0.00%,0,0.00%,0,0.00%,5683,0,,,
STN277,0,0.00%,0,0.00%,0,0.00%,0,0.00%,13040,0,,,
STN278,0,0.00%,0,0.00%,0,0.00%,0,0.00%,5409,0,,,
STN279,0,0.00%,0,0.00%,0,0.00%,0,0.00%,11690,0,,,
STN280,0,0.00%,0,0.00%,0,0.00%,0,0.00%,229,0,,,
STN281,200,100.00%,0,0.00%,0,0.00%,0,0.00%,200,0,,,
STN282,0,0.00%,0,0.00%,0,0.00%,0,0.00%,8318,0,,,
STN285,0,0.00%,0,0.00%,0,0.00%,0,0.00%,703,0,,,
STN286,0,0.00%,0,0.00%,0,0.00%,0,0.00%,805,0,,,
